dataset,session_id,animal_id,total_trials,fit_trials,inner_trials,heldout_screening_trials,fit_class_count,inner_class_count,heldout_screening_class_count,fit_inner_overlap,fit_screening_overlap,inner_screening_overlap,union_trial_count,full_trial_coverage,trial_ids_unique,heldout_split_role_source,screening_metric_access_before_R3,status,error
Allen VBN,1044016459,506940,9246,5544,1846,1856,8,8,8,0,0,0,9246,True,True,screening,False,PASS,
Allen VBN,1044385384,524761,9284,5568,1854,1862,8,8,8,0,0,0,9284,True,True,screening,False,PASS,
Allen VBN,1044389060,510589,9266,5557,1850,1859,8,8,8,0,0,0,9266,True,True,screening,False,PASS,
Allen VBN,1044594870,524761,9280,5565,1853,1862,8,8,8,0,0,0,9280,True,True,screening,False,PASS,
Allen VBN,1049514117,521466,9294,5572,1855,1867,8,8,8,0,0,0,9294,True,True,screening,False,PASS,
Allen VBN,1051155866,524760,9250,5547,1845,1858,8,8,8,0,0,0,9250,True,True,screening,False,PASS,
Allen VBN,1053718935,527749,9268,5558,1851,1859,8,8,8,0,0,0,9268,True,True,screening,False,PASS,
Allen VBN,1056495334,531237,9242,5542,1845,1855,8,8,8,0,0,0,9242,True,True,screening,False,PASS,
Allen VBN,1069458330,544837,9266,5558,1852,1856,8,8,8,0,0,0,9266,True,True,screening,False,PASS,
Allen VBN,1072567062,546507,9246,5544,1846,1856,8,8,8,0,0,0,9246,True,True,screening,False,PASS,
Allen VBN,1104058216,563497,9268,5557,1851,1860,8,8,8,0,0,0,9268,True,True,screening,False,PASS,
Allen VBN,1104289498,563497,9280,5565,1853,1862,8,8,8,0,0,0,9280,True,True,screening,False,PASS,
Allen VBN,1105798776,567286,9308,5582,1859,1867,8,8,8,0,0,0,9308,True,True,screening,False,PASS,
Allen VBN,1108531612,570301,9196,5515,1836,1845,8,8,8,0,0,0,9196,True,True,screening,False,PASS,
CRCNS pvc-11,data_monkey1_gratings,monkey1,1600,960,320,320,8,8,8,0,0,0,1600,True,True,screening,False,PASS,
CRCNS pvc-11,data_monkey2_gratings,monkey2,1600,960,320,320,8,8,8,0,0,0,1600,True,True,screening,False,PASS,
CRCNS pvc-11,data_monkey3_gratings,monkey3,1600,960,320,320,8,8,8,0,0,0,1600,True,True,screening,False,PASS,
